npi	city	state	zip	count	average_payment	year
1013001387	PLANTATION	FL	33324	34	75.315	2013
1013007707	PRINCETON	NJ	085403211	52	74.169038462	2013
1013008481	DALY CITY	CA	94015	22	81.482727273	2013
1013012558	CHICAGO	IL	606175164	25	206.2728	2013
1013022516	SUMTER	SC	291504748	43	137.16046512	2013
1013024322	MCCOMB	MS	396482705	24	66.615	2013
1013028679	BOYNTON BEACH	FL	334357944	20	170.0625	2013
1013030782	LITTLE ROCK	AR	722056321	17	65.604705882	2013
1013059419	DECATUR	GA	300335903	135	150.092	2013
1013061076	SCOTTSDALE	AZ	852585088	28	84.012857143	2013
1013068881	BIRMINGHAM	AL	352427148	236	135.01503496499998	2013
1013072537	LOS ANGELES	CA	90067	21	75.454285714	2013
1013077395	JERSEY CITY	NJ	073061112	19	227.78421053	2013
1013088277	GREENFIELD	WI	532212051	272	75.13639505500001	2013
1013092147	LORAIN	OH	440532382	209	96.21829057966667	2013
1013092709	SALT LAKE CITY	UT	841320100	16	74.77125	2013
1013104389	TRACY	CA	953777330	108	256.33346154000003	2013
1013112184	PITTSBURGH	PA	152610001	21	62.42952381	2013
1013113935	NORTHRIDGE	CA	913244620	37	112.473478261	2013
1013116748	RICHMOND	CA	948065719	20	328.852	2013
1013117696	SACRAMENTO	CA	958211618	79	76.7260519125	2013
1013121755	CLEVELAND	OH	441303304	25	171.2512	2013
1013127893	BROWNSTOWN TWP	MI	481831090	69	176.02939542500002	2013
1013128016	PATERSON	NJ	075032212	41	75.899512195	2013
1013128305	CINCINNATI	OH	452424498	253	112.693428728	2013
1013136456	TURNERSVILLE	NJ	080123215	196	238.30648227	2013
1013139286	CEDAR PARK	TX	786134528	22	76.979545455	2013
1013143007	HARRISON	NJ	070292134	15	285.62533333	2013
1013161082	LEXINGTON	KY	405031517	21	65.98	2013
1013170646	LEXINGTON	SC	290727295	351	69.499130584	2013
1013176247	PARAMUS	NJ	076523628	243	86.5309944155	2013
1013177450	NEW HARTFORD	NY	134131001	47	149.38085106	2013
1013177955	OKLAHOMA CITY	OK	731523277	81	68.317554348	2013
1013180496	DURHAM	NC	277053941	12	76.42	2013
1013181221	SUFFERN	NY	109014812	41	85.928780488	2013
1013195569	SURPRISE	AZ	853749019	338	251.37487120999998	2013
1013201870	PHILADELPHIA	PA	191021101	31	67.295806452	2013
1013212927	COLUMBUS	GA	319097291	353	233.42731502499998	2013
1013900695	COLUMBIA	MO	652017199	801	141.90418227	2013
1013900976	STOCKBRIDGE	GA	302815086	18	169.77666667	2013
1013901834	ENID	OK	737015737	523	70.74968611	2013
1013902352	BOULDER	CO	803034284	91	175.96682034999998	2013
1013903095	DAVENPORT	FL	338373951	62	189.84016129	2013
1013903178	LAKE PLACID	FL	338527948	28	76.518214286	2013
1013904333	HAMILTON SQUARE	NJ	086901740	38	75.342105263	2013
1013904507	BIRMINGHAM	AL	352353430	68	67.4742647055	2013
1013904614	NEW BERN	NC	285604317	247	166.96191345	2013
1013905942	OKLAHOMA CITY	OK	731093845	474	72.245561793	2013
1013906833	SEATTLE	WA	981041306	19	67.242105263	2013
1013907047	HANFORD	CA	932303576	57	63.020701754	2013
1013907294	BOSTON	MA	021142696	53	65.235471698	2013
1013908292	SAVANNAH	GA	314063928	43	154.58139535	2013
1013909340	SHREWSBURY	NJ	077024802	220	81.283969697	2013
1013910272	WACO	TX	767127924	66	164.00053261	2013
1013911361	MEDFORD	OR	975049643	26	161.76615385	2013
1013913755	PLEASANTON	CA	945884007	29	74.354137931	2013
1013913813	PUEBLO	CO	810032745	55	74.5768406595	2013
1013914985	ROANOKE	VA	240164704	175	225.73432653499998	2013
1013915669	WEST HOLLYWOOD	CA	900481804	85	79.42625	2013
1013916881	COLORADO SPRINGS	CO	80907	44	97.5309627345	2013
1013917426	LANCASTER	OH	431308265	507	166.28338812	2013
1013917459	MOBILE	AL	366081162	133	62.410676692	2013
1013917756	ENGLEWOOD	CO	801132638	44	76.522727273	2013
1013920602	ORANGE PARK	FL	320735174	196	173.90344203	2013
1013921667	COLUMBIA	MO	652016623	166	162.92215422	2013
1013923929	PEORIA	IL	616145098	97	152.33360825	2013
1013923960	SPOKANE	WA	992042483	17	70.898823529	2013
1013924133	ENTERPRISE	AL	363301812	773	204.195419545	2013
1013924232	FOLEY	AL	365351324	75	149.4808	2013
1013924877	PORTLAND	OR	972092643	14	74.052857143	2013
1013926112	LAKE FOREST	IL	600451659	78	73.123974359	2013
1013927110	SANTA ROSA	CA	95405	195	80.41661764700001	2013
1013931971	SALINAS	CA	939014029	74	66.756486486	2013
1013936715	DALLAS	TX	752461713	42	69.4106944445	2013
1013938679	OMAHA	NE	681242319	47	69.108047619	2013
1013939198	COLUMBIA	MD	210455248	102	82.867426242	2013
1013939727	STATE COLLEGE	PA	168032276	26	69.049230769	2013
1013940766	FLOWOOD	MS	392329303	13	66.909230769	2013
1013942358	IRVING	TX	75039	83	176.117792205	2013
1013945823	MEDFORD	OR	975047134	600	74.9215036635	2013
1013948116	FARGO	ND	581031930	313	75.7893712905	2013
1013949353	MEDFORD	OR	975047134	192	76.6305555555	2013
1013952779	STEVENS POINT	WI	544813114	13	68.203846154	2013
1013954346	CHARLESTON	SC	294145733	14	75.74	2013
1013955665	FALLS CHURCH	VA	220423307	51	192.11803922000001	2013
1013957026	LAS VEGAS	NV	891171977	11	73.501818182	2013
1013960277	ALTOONA	PA	166024548	376	116.77789586899999	2013
1013961929	SOUTH BEND	IN	466351539	42	59.367142857	2013
1013963271	WALTHAM	MA	024511105	85	79.62440026050001	2013
1013964063	BRISTOL	TN	376200213	315	207.44944898	2013
1013969591	FULLERTON	CA	928353809	14	77.435714286	2013
1013971654	GOLDSBORO	NC	275349432	947	163.68472252499998	2013
1013974369	ELKO	NV	89801	24	70.168333333	2013
1013974450	PORT ST LUCIE	FL	349525615	179	111.9120061	2013
1013978931	ALBANY	GA	317011528	11	66.863636364	2013
1013979285	WICHITA FALLS	TX	763015003	86	149.89825581	2013
1013981216	PORTLAND	OR	972053536	11	69.658181818	2013
1013982685	MIDDLETOWN	NY	10940	50	171.461	2013
1013987890	CHULA VISTA	CA	91911	55	72.863636364	2013
1013989466	LODI	CA	952405100	178	168.06741573	2013
1013991520	MILWAUKEE	WI	532114508	79	74.476635593	2013
1013993252	PASADENA	CA	911062401	54	278.58296296	2013
1013996750	SENECA	SC	29678	22	325.78818182	2013
1013997675	GREELEY	CO	806314500	1739	172.11917607499998	2013
1013997709	HICKORY	NC	286015036	362	74.312257418	2013
1013998269	DANVERS	MA	019232121	25	66.7088	2013
1013998467	SCRANTON	PA	185102369	36	69.091111111	2013
1023000270	HENDERSON	NV	890157055	18	70.16	2013
1023002789	EAST HARTFORD	CT	061083288	17	75.501176471	2013
1023003431	THOMSON	GA	308248139	21	60.964761905	2013
1023006129	CHAMA	NM	875200668	22	152.39863636	2013
1023011004	FORT WAYNE	IN	468044159	109	110.831889835	2013
1023013828	DALLAS	TX	752402004	21	129.21857143	2013
1023015534	KINGMAN	AZ	864090927	36	70.016	2013
1023019106	COLUMBUS	IN	472018892	43	134.75	2013
1023025731	FORT MYERS BEACH	FL	339312846	24	169.54875	2013
1023026127	FT. LAUDERDALE	FL	33308	24	177.85333333	2013
1023031267	BURBANK	CA	915062958	513	198.70291398	2013
1023036688	MIAMI	FL	331334205	29	246.65965517	2013
1023039609	LOMA LINDA	CA	923543711	108	71.158148148	2013
1023040748	FRESNO	CA	937203377	196	76.2633062165	2013
1023044369	BOULDER	CO	803043404	13	70.712307692	2013
1023044583	TYLER	TX	757018397	13	68.184615385	2013
1023044880	PUYALLUP	WA	983742106	171	68.338654971	2013
1023046869	OCOEE	FL	347613498	604	78.015815954	2013
1023049418	PROVO	UT	846045764	203	168.824051725	2013
1023049814	NASHUA	NH	03060	257	107.85133407133334	2013
1023052511	PINEHURST	NC	283748708	169	75.04352462366667	2013
1023054426	BERLIN	NH	035703531	179	47.139050279	2013
1023055001	BALTIMORE	MD	212374301	200	243.16741553	2013
1023056835	WATERVILLE	ME	049014974	26	62.285769231	2013
1023058476	BAKERSFIELD	CA	933090641	73	172.66424658	2013
1023068574	SANTA ROSA	CA	954054801	46	72.813913043	2013
1023070026	TOMS RIVER	NJ	087532895	130	252.77211173499998	2013
1023070893	MERIDIAN	MS	393014116	71	73.291414634	2013
1023071180	LAS VEGAS	NV	891024363	171	239.48067669	2013
1023072287	WEYMOUTH	MA	021893101	299	78.780880337	2013
1023073046	NEWNAN	GA	30265	48	69.214845735	2013
1023075272	KANSAS CITY	MO	641115941	88	70.68651785700001	2013
1023077104	KANSAS CITY	KS	661608500	11	69.872727273	2013
1023078441	LAFAYETTE	IN	479058635	302	94.693543046	2013
1023079274	MOBILE	AL	366073326	41	135.91322304	2013
1023082468	NEW MILFORD	CT	067762915	32	70.756875	2013
1023085842	TUCSON	AZ	857126305	23	67.224347826	2013
1023086501	WASHINGTON	DC	200072113	15	71.61	2013
1023088473	PANAMA CITY	FL	324054642	678	206.326192725	2013
1023090628	POTTSVILLE	PA	179013625	38	68.096315789	2013
1023091824	BURLINGTON	WI	531051828	53	67.385283019	2013
1023092137	MONROEVILLE	PA	151463540	24	68.838333333	2013
1023093564	WEST CALDWELL	NJ	070066426	125	130.715694445	2013
1023094554	PHILADELPHIA	PA	191112442	269	110.97530777	2013
1023094901	BOISE	ID	837024565	53	68.9890079365	2013
1023095999	PENSACOLA	FL	325045935	12	67.348333333	2013
1023096708	HARRISBURG	PA	171094839	508	74.2144441935	2013
1023099702	NEWPORT NEWS	VA	236064237	122	159.54459016	2013
1023102720	HEMET	CA	925434016	119	104.86549028766666	2013
1023104445	SHAWNEE MISSION	KS	662152310	193	72.1848020835	2013
1023106507	SHELBY TWP	MI	483153140	53	168.37301887	2013
1023113008	HILTON HEAD	SC	299262844	320	166.7173716	2013
1023114733	NAPA	CA	945583056	17	61.349411765	2013
1023115128	WASHINGTON	NC	278893409	11	73.892727273	2013
1023122272	KEARNEY	NE	688452234	22	65.98	2013
1023123932	SAVANNAH	GA	314055810	37	65.684864865	2013
1023124435	PAPILLION	NE	68131	27	61.191481481	2013
1023128451	COLFAX	WA	991119552	58	69.081724138	2013
1023128741	SONOMA	CA	954766920	34	71.786470588	2013
1023146206	ENCINO	CA	914362203	27	75.146666667	2013
1023149242	DUBLIN	GA	31021	61	206.69901639	2013
1023150869	QUINCY	IL	623012834	24	65.15	2013
1023151644	SAINT GEORGE	UT	847904498	621	175.65641067500002	2013
1023159860	THOUSAND OAKS	CA	913611029	510	285.24358224	2013
1023161205	TERRE HAUTE	IN	478042706	17	67.572352941	2013
1023162765	ALHAMBRA	CA	918015860	57	56.053333333	2013
1023169075	GREENWOOD	IN	461428499	26	67.887692308	2013
1023173846	SEATTLE	WA	981041132	57	192.86873015999998	2013
1023174042	UKIAH	CA	954824533	31	74.727719298	2013
1023174752	IRVINE	CA	926183194	14	163.57714286	2013
1023178142	GREENVILLE	NC	278343701	12	76.94	2013
1023182581	MEMPHIS	TN	381202366	643	134.41076949	2013
1023190923	REDWOOD CITY	CA	940633132	14	72.742142857	2013
1023191608	OMAHA	NE	681144108	351	68.574022436	2013
1023200649	CLEVELAND	OH	441950001	13	79.359230769	2013
1023202280	LIBERTY	NY	127548309	23	198.69652174	2013
1023202355	WILLIAMSVILLE	NY	142215263	118	105.6642816465	2013
1023204518	SANTA MONICA	CA	904042139	19	86.088421053	2013
1023208907	PIERRE	SD	575013391	29	63.562413793	2013
1023209228	GLENDALE	AZ	853088370	87	190.61724138	2013
1023213188	SEATTLE	WA	981042420	21	83.522857143	2013
1023218542	LEXINGTON	KY	405360293	31	70.945806452	2013
1023221801	AVON	IN	461236910	130	166.19510688000003	2013
1023222577	BOSTON	MA	021142621	24	73.657083333	2013
1023224938	PHILADELPHIA	PA	191044206	23	75.142608696	2013
1023227576	BOWLING GREEN	OH	434022603	30	85.768	2013
1023228269	PORTLAND	OR	972053536	11	71.113636364	2013
1023228624	BIRMINGHAM	AL	352353430	361	68.4092149125	2013
1023229036	DETROIT	MI	482012018	84	164.37392857	2013
1023234655	FLOWER MOUND	TX	75028	28	68.179285714	2013
1023235207	PITTSBURGH	PA	152375818	176	170.822078055	2013
1023236478	TYLER	TX	757014244	334	89.19763244875	2013
1023253291	FLORHAM PARK	NJ	079321508	17	255.36647059	2013
1023266145	GLEN BURNIE	MD	210615577	388	249.507577325	2013
1023267465	HAMMONTON	NJ	080373347	17	166.16176471	2013
1023269537	WEST JORDAN	UT	840885610	74	75.939288793	2013
1023285129	CHARLOTTESVILLE	VA	229080001	48	67.00105042050001	2013
1023293289	SAINT LOUIS	MO	631282106	23	73.128695652	2013
1023297553	CARBONDALE	IL	629011031	185	218.4054142	2013
1023349909	ROCKVILLE	MD	208504330	194	256.540263635	2013
1033100904	NAPLES	FL	341081931	191	79.827634106	2013
1033101712	TUCSON	AZ	857188603	300	176.086180535	2013
1033102124	CHAGRIN FALLS	OH	440224010	97	69.82742268	2013
1033103973	NEW ALBANY	IN	471504990	11	67.911818182	2013
1033104104	ZANESVILLE	OH	437011762	132	74.169920635	2013
1033104534	NEW YORK	NY	100214823	44	83.541768421	2013
1033106612	LAKE WORTH	FL	334672532	48	238.34645833	2013
1033107453	CLEARWATER	FL	337614104	39	159.00717949	2013
1033107941	BALTIMORE	MD	212093746	182	82.402997795	2013
1033109285	HOUSTON	TX	770471923	27	68.08	2013
1033111380	VENTURA	CA	930033101	16	76.394375	2013
1033112628	GOLDEN	CO	804019541	106	243.964732145	2013
1033112933	TYLER	TX	757011955	155	71.09112230049999	2013
1033113402	PENSACOLA	FL	325032337	184	216.16258562000002	2013
1033113527	ROCKPORT	ME	048564240	41	67.277073171	2013
1033113642	WALNUT CREEK	CA	945982408	53	84.401623932	2013
1033113881	DURHAM	NC	277053941	11	77.838181818	2013
1033116298	ALBUQUERQUE	NM	871101437	157	145.56866242	2013
1033116371	LOUISVILLE	KY	402022029	142	70.77994912	2013
1033116611	TUCSON	AZ	857124409	202	78.5519694545	2013
1033117262	WALL TOWNSHIP	NJ	077193513	207	259.77826087	2013
1033117601	PITTSBURGH	PA	152133215	26	60.951538462	2013
1033118955	DELAND	FL	327203282	128	71.05171875	2013
1033119342	SARTELL	MN	563772554	17	66.924117647	2013
1033119607	CANAL WINCHESTER	OH	431109612	167	167.38450419999998	2013
1033120852	MINNEAPOLIS	MN	554151623	42	66.396666667	2013
1033124680	CARSON CITY	NV	89703	19	73.587368421	2013
1033129267	DENVER	CO	802044028	23	70.630434783	2013
1033132683	CLEVELAND	OH	441950001	20	62.443	2013
1033135082	DU BOIS	PA	158011440	164	60.102012195	2013
1033135702	DELRAY BEACH	FL	334456584	12	177.25166667	2013
1033137682	FARGO	ND	581023641	13	62.69	2013
1033137989	LEXINGTON	SC	29072	108	224.48500296	2013
1033140066	BLUEFIELD	WV	247013306	191	134.33167539	2013
1033140397	MANITOWOC	WI	54220	65	238.68569231	2013
1033141643	OLATHE	KS	660615306	233	74.0621346155	2013
1033141825	BALTIMORE	MD	21209	216	247.54113426499998	2013
1033145784	GLENS FALLS	NY	128014413	43	66.298604651	2013
1033147228	COLUMBUS	IN	472012610	26	65.082692308	2013
1033147400	BUFFALO	NY	142142693	63	144.51650794	2013
1033147483	HAMILTON	NJ	08690	78	174.95358974	2013
1033148440	OKLAHOMA CITY	OK	731147408	67	64.601641791	2013
1033152194	BIRMINGHAM	AL	352491900	12	56.865	2013
1033154851	KNOXVILLE	TN	379234204	191	217.587614285	2013
1033157367	GALLIPOLIS	OH	456311560	249	68.896385542	2013
1033158449	NORTH PLATTE	NE	691015587	42	60.483809524	2013
1033161674	PHOENIX	AZ	850134419	75	68.870933333	2013
1033166285	MANASQUAN	NJ	08736	128	72.98796875	2013
1033171475	ANACORTES	WA	982212562	12	70.56	2013
1033173414	NORTHFIELD	MN	550573081	42	61.756190476	2013
1033173471	EAST STROUDSBURG	PA	183019101	95	171.017081105	2013
1033175385	HOFFMAN ESTATES	IL	601691019	50	82.2162224105	2013
1033175435	PROVIDENCE	RI	029053236	93	67.663333333	2013
1033176516	CHESTERTON	IN	463049658	77	131.485412699	2013
1033177340	BIRMINGHAM	AL	352353430	587	68.011916739	2013
1033177373	ORANGE	CA	928684719	372	268.20709679000004	2013
1033182126	OVERLAND PARK	KS	662102144	21	67.354285714	2013
1033183173	LIVE OAK	TX	782333260	100	175.5948	2013
1033184346	BARRINGTON	NH	038257244	458	184.86608092	2013
1033184429	LEWISTON	ME	04240	290	153.40509922500001	2013
1033184924	MANHATTAN	KS	66502	26	66.955384615	2013
1033186002	VESTAL	NY	138501559	242	148.93838843	2013
1033186515	SAN ANTONIO	TX	782294986	94	151.39659574	2013
1033189360	KITTY HAWK	NC	279493990	180	220.571	2013
1033189857	NORTH LITTLE ROCK	AR	721185312	25	131.2524	2013
1033189931	ITHACA	NY	148501342	256	64.389375	2013
1033190129	JACKSON	MS	392022413	344	214.17694703	2013
1033191093	ATLANTA	GA	30312	24	162.13333333	2013
1033191986	MCMINNVILLE	TN	371101331	38	65.366578947	2013
1033192943	GREEN BAY	WI	543116519	37	65.180540541	2013
1033194584	GREENBELT	MD	207703514	47	96.397021277	2013
1033198650	HOUMA	LA	703604412	1197	115.5335318205	2013
1033198700	COLUMBUS	OH	432131502	100	69.7531	2013
1033198809	BRUNSWICK	GA	315204725	12	68.105	2013
1033199237	DOTHAN	AL	363051056	98	70.0367392885	2013
1033200951	CARSON CITY	NV	897057255	225	124.02975	2013
1033202536	LONGMONT	CO	805016972	26	61.252692308	2013
1033210596	LOUISVILLE	KY	402021901	121	62.197933884	2013
1033213749	OCOEE	FL	347612989	38	147.00552632	2013
1033215546	SARASOTA	FL	342392943	186	76.581604278	2013
1033221890	SAN FRANCISCO	CA	941153036	181	84.93694836	2013
1033223102	OMAHA	NE	681322761	11	66.225454545	2013
1033229117	CHESTERFIELD	MO	63017	49	76.3468627455	2013
1033239959	CLINTON TWP	MI	480383591	62	165.85453968000002	2013
1033244215	CEDAR CITY	UT	847207792	30	52.631	2013
1033250618	PHOENIX	AZ	850062621	32	230.9359375	2013
1033256490	MARIETTA	GA	300606913	11	66.253636364	2013
1033268776	STATEN ISLAND	NY	10309	201	78.956339216	2013
1033272224	BOSTON	MA	021156110	86	158.5772093	2013
1033275045	LANCASTER	PA	176014132	149	71.83395962750001	2013
1033282207	CAMBRIDGE	OH	437253059	420	158.908819985	2013
1033290499	BERLIN	MD	218111132	510	232.60057935999998	2013
1033291380	SAFETY HARBOR	FL	346954659	28	132.04357143	2013
1033295316	STOCKTON	CA	952032405	25	72.6968	2013
1033300140	LAKEWOOD	CO	802281535	47	71.205448718	2013
1033301981	DALLAS	TX	752313833	175	101.78038139433333	2013
1033313556	PLANO	TX	750244236	43	67.802790698	2013
1033313580	STILLWATER	MN	550825078	28	198.40214286	2013
1033314927	SALINAS	CA	939014029	16	76.35875	2013
1033315437	TULSA	OK	741045649	102	96.77606153166667	2013
1033319124	EUGENE	OR	974017925	36	70.597832817	2013
1033320338	BLUE ASH	OH	452426251	44	65.591818182	2013
1033326335	GRAND RAPIDS	MI	495062969	154	117.4817264305	2013
1033327309	PHILADELPHIA	PA	191074824	335	77.727570484	2013
1033358544	JOHNSON CITY	TN	376048310	30	133.35633333	2013
1033363064	SAVANNAH	GA	31405	762	232.992431735	2013
1033370440	CAPE GIRARDEAU	MO	637014566	415	124.264655629	2013
1033372941	SYRACUSE	NY	132102342	13	158.35	2013
1033373691	MT PLEASANT	SC	294644183	3502	229.20703356	2013
1033373980	TAMPA	FL	336063508	14	71.61	2013
1033379508	NEW YORK	NY	100295759	21	75.613333333	2013
1033385307	SAN DIEGO	CA	921211733	49	177.67285714	2013
1033388277	BURLINGTON	MA	018050001	91	70.776923077	2013
1033393483	ATLANTA	GA	303221064	14	77.146428571	2013
1033393871	WINCHESTER	VA	226012872	38	110.69818182	2013
1033397294	MINNEAPOLIS	MN	554550341	15	76.504	2013
1033397443	NEW ORLEANS	LA	701212429	14	67.755714286	2013
1033412440	GOSHEN	IN	465284402	12	74.049166667	2013
1033426580	EVANSVILLE	IN	477148016	131	217.089648475	2013
1033433701	BURR RIDGE	IL	60527	30	76.335	2013
1033442231	GRAND RAPIDS	MI	495462379	285	152.63458146	2013
1033453311	JACKSON	CA	956422680	324	282.01298007	2013
1033468400	NEW ALBANY	OH	430548195	30	245.94	2013
1033468442	PENSACOLA	FL	32503	158	221.74	2013
1043200587	HOT SPRINGS	AR	719136475	15	65.37	2013
1043201452	NEW YORK	NY	100166713	40	190.82325	2013
1043204654	MERIDIAN	MS	393014458	742	73.427900975	2013
1043205305	OCALA	FL	344718958	571	174.12210854	2013
1043206907	LITTLE ROCK	AR	722055307	17	71.777058824	2013
1043208119	BROOKLINE	MA	024465245	80	178.941625	2013
1043209653	CANFIELD	OH	444068086	272	226.34501822	2013
1043211055	LAFAYETTE	LA	705085783	319	66.388074455	2013
1043215841	NEW YORK	NY	100193211	34	182.34941176	2013
1043216864	GAINESVILLE	FL	326072245	73	156.84328767	2013
1043217615	LONG BEACH	CA	908061715	374	271.46506963	2013
1043218654	ANTIOCH	TN	370133130	257	117.170249614	2013
1043218803	CINCINNATI	OH	452192906	271	75.43742703699999	2013
1043222417	COTTONWOOD	AZ	863264237	125	271.09041764	2013
1043225840	EVANSVILLE	IN	477148016	20	64.988	2013
1043226384	PURCELL	OK	730801642	46	60.844130435	2013
